,0
266,0.10051656107184227
267,0.11967816731627338
268,0.1253530848662544
269,0.12319966184545386
270,0.14468904892039888
271,0.12924237875821112
272,0.15869351186406802
273,0.14642862240033824
274,0.17291442392724804
275,0.16829769751139295
276,0.17786407636692683
277,0.1405113664277562
278,0.16807100498675953
279,0.12950119993156
280,0.13257398754728397
281,0.12255417503912858
282,0.10322461422539975
283,0.09988124883352861
284,0.10503626373391496
285,0.09539870307786666
286,0.10743100394537054
287,0.1016880622665557
288,0.10416051339967049
289,0.11078771271406997
290,0.13014698068866978
291,0.1517969588845646
292,0.1414367795406213
293,0.17265044162884582
294,0.10393722317476248
295,0.10095874156234995
296,0.1255665787254098
297,0.10424142528127904
298,0.11533980693440689
299,0.09356073649337943
300,0.11372836885285269
301,0.10487588626793441
302,0.11284105189290278
303,0.1081715961336658
304,0.10935447900335261
305,0.09769994850137084
306,0.12065957162133881
307,0.13785640124235263
308,0.1508502883949411
309,0.14480565431352796
310,0.1446581542191631
311,0.09607950106528755
312,0.12380429616356113
313,0.13352753583808102
314,0.15923083893384776
315,0.15973651045904316
316,0.15362958831449497
317,0.15244918786939618
318,0.15917157285574884
319,0.18148059699069896
320,0.11732703695872285
321,0.1314265659254929
322,0.17183482791253074
323,0.1727761214148366
324,0.17256573170199507
325,0.1354165133738022
326,0.21615810299778196
327,0.13179564935709784
328,0.11869703898376499
329,0.11766322547785858
330,0.13679646932829084
331,0.17527562986270112
332,0.12435323672240048
333,0.09843212041142668
334,0.09617904207211905
335,0.09658675563737283
336,0.1139851666570637
337,0.12145880607188005
338,0.1275761625919146
339,0.11357670630603067
340,0.11282286913707479
341,0.1011376976273432
342,0.09536536942049811
343,0.09500424750483287
344,0.09444748148625855
345,0.10316336537364275
346,0.1354006577100521
347,0.15997706447686383
348,0.10979361673562313
349,0.15458083937646044
350,0.10490166582048548
351,0.09915750819927824
352,0.09556691912862962
353,0.08525452071434977
354,0.0866322331204941
355,0.12136728440235767
356,0.14013085288572324
357,0.1206826375996487
358,0.09851487048528838
359,0.10386793070442436
360,0.09301048659290023
361,0.08889326608342844
362,0.0841886141494416
363,0.0807006807196077
364,0.07901359190282775
365,0.07996312417543543
366,0.0905703214440195
367,0.1096540874240972
368,0.09892789763578536
369,0.08358015948360412
370,0.08476881933372932
371,0.07752965577263116
372,0.07980527728341036
373,0.08565703420098099
374,0.08873785712742677
375,0.09935465901191483
376,0.09387458310887432
377,0.10689144621449018
378,0.13564451360731733
379,0.11289233473567999
380,0.10297765940228441
381,0.10034129036059325
382,0.08510908374412562
383,0.09276903853368582
384,0.09040688728630115
385,0.09018928183965567
386,0.0817095706526501
387,0.08717491600679136
388,0.07359223062009607
389,0.08660588139000938
390,0.0888326747443636
391,0.09022069944474422
392,0.08482075768285226
393,0.07329435159287283
394,0.07042968387396376
395,0.07080606633861872
396,0.07234753677812311
397,0.06455757435878196
398,0.07950768616329909
399,0.06977920353193452
400,0.07006072124207642
401,0.07457452943825511
402,0.07592396755812016
403,0.08290718230474285
404,0.07441267205085118
405,0.07532519358266013
406,0.08251545532713865
407,0.1033673931373402
408,0.10332712015745765
409,0.10168898976339805
410,0.07628208506639789
411,0.07342555010256904
412,0.07130759113242653
413,0.09983649326009389
414,0.077969008614749
415,0.08278761836979948
416,0.10155908749288409
417,0.09461257816864833
418,0.07680720499226934
419,0.07924585716452169
420,0.07128951033494685
421,0.08453815207562451
422,0.07698556356422187
423,0.10359260661618822
424,0.08548875263104702
425,0.10396218384766442
426,0.09699750529053079
427,0.11753765845281659
428,0.11454177785978747
429,0.13691423095619312
430,0.10781651708901345
431,0.13168749781847658
432,0.10881331326881757
433,0.0821602876789039
434,0.07747458994705947
435,0.08298575676210168
436,0.08971760369494515
437,0.09596437433838585
438,0.09740139864712431
439,0.08319364966398905
440,0.08757025453103177
441,0.09580470447356644
442,0.09200463383462153
443,0.11179489293175292
444,0.11383310513462894
445,0.11620807475369435
446,0.13219542923946728
447,0.10948627816002784
448,0.11942814565515637
449,0.09280454242797498
450,0.10582125381616163
451,0.11576625841706405
452,0.1278945015651112
453,0.09960110837668072
454,0.10003505772025494
455,0.08400905470872315
456,0.0810592645310106
457,0.0646645133236476
458,0.06578085590942584
459,0.06434699917982083
460,0.06594946844169221
461,0.06216667880475724
462,0.06507909061357002
463,0.06538689124762873
464,0.06822598094803929
465,0.07337508089751661
466,0.0769672113134049
467,0.08485570015315168
468,0.11761627931881109
469,0.1135701894635741
470,0.11329287214701773
471,0.11727678656773476
472,0.10475020474589147
473,0.06391386154747491
474,0.06670520789619273
475,0.06918989614713009
476,0.06748254363108759
477,0.07776118191535576
478,0.07554545296067491
479,0.09102834019885893
480,0.0894846977360317
481,0.0972287927022285
482,0.12010867849971985
483,0.11630562761444316
484,0.13244282394821483
485,0.1357152657901568
486,0.1335945890673157
487,0.11622905283732889
488,0.11060309539265561
489,0.11472680241203895
490,0.10440125326303831
491,0.10527630778521517
492,0.10765980197698316
493,0.11776380573792877
494,0.0934686018279522
495,0.07159529447111958
496,0.07127995578455393
497,0.07100657799593016
498,0.10238465681810711
499,0.08262408571736449
500,0.11820788635048866
501,0.09250715058892077
502,0.08123124650678946
503,0.07429311632731209
504,0.07887057973952684
505,0.08410111035142892
506,0.08947148530498766
507,0.06931187832052964
508,0.07705186178392735
509,0.09128037554852883
510,0.07906116742658366
511,0.07144071187531043
512,0.06676958412382826
513,0.06279272967763436
514,0.06495550927895562
515,0.06771673099250836
516,0.07283266496028079
517,0.07557977658987503
518,0.08538659216385434
519,0.07594060701605623
520,0.08081192115042775
521,0.09505400910989321
522,0.06491841836265534
523,0.06130162399656986
524,0.07320971573293662
525,0.0783675341857466
526,0.08026115868721576
527,0.06609033933598236
528,0.0741231702236655
529,0.09516035984161268
530,0.07730585404306167
531,0.08165332317568179
532,0.09243796953986962
533,0.07966125523956322
534,0.10618343826684953
535,0.0759952100890428
536,0.08989264051964992
537,0.117611122552907
538,0.11430022146019633
539,0.08802752201128877
540,0.07887809125508943
541,0.0791437390976415
542,0.07023251925697772
543,0.07041481808713325
544,0.08503374594304897
545,0.07394673619141225
546,0.06333712092638853
547,0.060547899561527244
548,0.06486278146076185
549,0.05941982160356429
550,0.06426612157865504
551,0.07232904399929699
552,0.08282419360379457
553,0.059563973224030814
554,0.06705117892365223
555,0.0679563349694516
556,0.06263871026564888
557,0.07034215224970748
558,0.07922470970159891
559,0.08896020402408654
560,0.08060864927202069
561,0.06907338826259524
562,0.06638784164428707
563,0.08569639176209098
564,0.06677923780008786
565,0.0774878280801542
566,0.060274797667973286
567,0.06706191230794017
568,0.058297909779067486
569,0.054244562129852715
570,0.17477970996213485
571,0.14856429265626694
572,0.1081200201964908
573,0.09657651546539343
574,0.10303895501073261
575,0.1827064099829739
576,0.09687019766508548
577,0.06260078068146885
578,0.05808773849053574
579,0.06752747182105646
580,0.0662894983350068
581,0.06135945192016827
582,0.058505918617741445
583,0.09611067903944333
584,0.05941346366380547
585,0.09329989801225787
586,0.0651597557842063
587,0.08552198661703807
588,0.06234293036801881
589,0.08652609739210586
590,0.06347840127987917
591,0.06224041146607868
592,0.06405234151749103
593,0.06434917515611192
594,0.08337210634076611
595,0.0741795372579361
596,0.09081614434475345
597,0.06759117920817836
598,0.07352045803189347
599,0.06732088847575689
600,0.08121346820603757
601,0.07361531818939708
602,0.06089157698414176
603,0.06412832660435187
604,0.05237961506165872
605,0.06161645891709571
606,0.056764492990499876
607,0.05343297623634025
608,0.04996956146006264
